Company,Website,Stage,Location (for search),Country/State (for display on card),Category,One-liner
Gaga,gaga-app.com,Seed,Asia,Saudi Arabia,Education,Discover online activities for kids
Gaggle,gaggle.fun,Seed,North America,California ,Entertainment & Social,Next level social gaming
Gauss Money,gauss.money,Seed,North America,New York,Financial Services,Get the most out of credit cards
genei,genei.io,Seed,Europe,United Kingdom,Workplace,Research faster
Genie,genieai.tech,Seed,North America,New York,Financial Services,World’s best crypto investing AI
Glidr,glidr.tv,Seed,North America,Texas,Entertainment & Social,TV is better with friends
Glitzi,glitzi.com.mx,Seed,North America,Mexico,Retail,Spa and beauty services at home
Gobillion,gobillion.co ,Seed,Asia,India,Retail,Explore team buying
GoBuild,go.build,Seed,North America,Texas,Financial Services,The financial tools that help you build faster
Gojom,gojom.com,Seed,South America,Peru,Housing,One-stop-shop for real estate in Latam
Goodable,goodable.co,Seed,North America,Canada,Entertainment & Social,We make good news happen
goodfin,goodfin.com,Seed,North America,California,Financial Services,A new way to invest in your future
Graphic India,graphicindia.com,Seed,Asia,India,Entertainment & Social,Leading India’s character entertainment revolution
Grasshopper,grasshopperkids.com,Seed,North America,California,Education,In-person experiences designed for kids
GroMo,gromo.in,Seed,Asia,India,Financial Services,Manage customers for financial products & earn 
Groovetime,groovetime.com,Seed,North America,California ,Entertainment & Social,The most fun way to own dance NFTs
Halo,shoponhalo.com,Seed,North America,Washington,Retail,Shop with friends & save
Hapi,hapi.trade,Seed,North America,California,Financial Services,Start your own investment portfolio from Latam
HappyCredit,happycredit.in,Seed,Asia,India,Financial Services,India's fastest cashback app
HealthDart,healthdart.co.za,Seed,Africa,South Africa,Healthcare,"Personalized healthcare, made affordable"
Heyfood Africa,heyfood.africa,Seed,Africa,Nigeria,Retail,"Your favorite restaurants, delivered to your door"
Hokali,hokali.co,Seed,North America,California ,Education,Learning new sports has never been easier
Homebase,homebase.com.vn,Seed,Asia,Vietnam,Housing,Unlock the wealth tied up in your home
HomeRoom,livehomeroom.com,Seed,North America,New York,Housing,Roommate living perfected
Honest,honestbank.com,Early,Asia,Singapore,Financial Services,Building the future of finance for Asia
Humbee,humbee.app,Seed,North America,New Jersey,Entertainment & Social,Chat with people without revealing your identity
Infina,infina.vn,Seed,Asia,Singapore,Financial Services,Investment and accumulation app for everyone
InsideOut,lettheinsideout.com,Seed,Europe,United Kingdom,Healthcare,Making people happier and healthier
InstaHop,instahop.com,Seed,North America,Canada,Transportation,Travel by meeting local people
InstaKin,instakin.com,Seed,North America,Missouri,Financial Services,A financial platform for migrant families
Instamed,instamed.in,Seed,Asia,India,Healthcare,"Healing for everyone, at all times"
InsureMyTeam,insuremyteam.com,Seed,Asia,India,Financial Services,A new age employee insurance and wellness platform
IoTeX,iotex.io,Seed,North America,California ,Financial Services,Connecting the real world to Web3
Itchy,itsitchy.com,Seed,Europe,Sweden,Healthcare,Self-confidence in a bottle
Ituloh,ituloh.co,Seed,Asia,Indonesia,Entertainment & Social,Indonesia’s #1 community-based video app
ivee,iveeapp.com,Seed,North America,New York,Healthcare,Individualized concierge care
Jeevam Health,jeevamhealth.com,Seed,Asia,India,Healthcare,Root cause approach to cure thyroid disease
Joon,joonapp.io,Seed,North America,California ,Healthcare,The to-do app for kids with ADHD
Juicy Marbles,juicymarbles.com,Seed,Europe,Slovenia,Food,The tender meaty jewel
Jumpspeak,jumpspeak.com,Seed,North America,Florida,Education,Speak Spanish confidently 24/7
Kaagaz Scanner,kaagaz.app,Seed,Asia,India,Workplace,Indian cam scanner app
Kaleido,kaleido.art,Seed,North America,Texas,Entertainment & Social,Art has a home
Kasaz,kasaz.com,Seed,Europe,Spain,Housing,Buy your apartment quickly and easily
